"","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","A11","A12","A13","A14","A15","A16","A17","A18","A19","A20","A21","A22","A23","A24","A25","A26","A27","A28","A29","A30","A31","A32","A33","A34","A35","A36","A37","A38","A39","A40","A41","A42","A43"
"A30"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","1","","","","","","","","","","","","",""
"A31"," ",".","."," "," "," ","."," "," "," "," "," "," "," "," ","."," "," "," "," "," "," "," ","."," "," "," "," "," "," ","1","","","","","","","","","","","",""
"A32"," ",".","."," ","."," ","."," "," "," "," "," "," "," ",".",".","."," "," "," "," "," "," ","."," "," "," "," "," "," "," ","1","","","","","","","","","","",""
"A33"," "," "," "," ","."," "," "," "," "," "," "," "," "," ","."," "," "," "," ","."," "," "," ","."," "," "," "," ","."," "," ",".","1","","","","","","","","","",""
"A34"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","."," "," "," "," "," "," "," "," "," ","1","","","","","","","","",""
"A35"," ",".","."," ","."," ","."," "," "," "," "," "," "," "," "," "," "," "," ","."," "," ",".","."," "," "," ","."," "," "," "," "," "," ","1","","","","","","","",""
"A36","."," "," "," "," ","."," "," "," "," "," "," "," ","."," ","."," "," "," "," "," "," "," ","."," "," "," "," "," "," ",".","."," "," "," ","1","","","","","","",""
"A37"," "," ","."," ","."," ","."," "," "," "," "," "," "," "," ",".","."," "," ","."," "," "," ","."," ","."," "," "," "," ","."," "," "," ","."," ","1","","","","","",""
"A38"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","."," "," "," "," "," "," ","."," ","."," "," "," "," "," "," ",".","."," ",".",".","1","","","","",""
"A39"," "," "," "," ","."," "," "," "," "," "," "," "," "," ","."," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","1","","","",""
"A40"," "," ","."," ",".",".","."," "," "," "," "," "," "," "," ",".","."," "," "," "," "," "," ","."," ","."," ","."," "," "," ","."," "," ","."," ",",","."," ","1","","",""
"A41"," "," "," "," ","."," "," "," "," "," "," "," ","."," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",".","."," "," "," ","."," "," "," ",".","1","",""
"A42"," "," "," "," ","."," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","."," "," "," "," "," "," ","."," "," "," ","."," "," "," "," ","1",""
"A43","."," ","."," "," "," ","."," "," "," ","."," "," "," "," "," "," "," "," "," "," "," "," ","."," ","."," "," "," "," "," "," ","."," "," ",".",".","."," ","."," ",".","1"
