"","jobtitle","joblink","jobLevel","budget","date","content","tags","numberOFfreelancers","totalspent","customerscore","country","customertype","score","Nfeedback"
"16","Corporate Logo Design","https://www.upwork.com/job/Corporate-Logo-Design_~01486328c4ad6a31d1/","Intermediate","800","2019-06-10","Budget: Conservative Deadline(s): Visual identity & Logo Development - Monday, July 8, 2019 Presentation – Wednesday, July 31, 2019 Stationary – Thursday, August 15, 2019 Deliverables: Mood board: · Research & Mood board Visual Identity Guideline*: · Research · Colour palette · Font Families · Pattern · Icon Set · Infographic · Photography style Logo Master*: · 5 Concepts, revision, 3 Concepts, revision, 2 Concepts, final tweaks – Choose 1, final tweaks Stationary: · Business Cards · Pens · Journal Design Presentation · Design presentation in accordance to visual identity guideline less","Flowcharts, Infographics, CorelDRAW, Adobe InDesign,  ",NA,"$0 ","No feedback yet","Canada",NA,NA,NA
"17","Google Analytics & Google Tag Manager","https://www.upwork.com/job/Google-Analytics-amp-Google-Tag-Manager_~0184f686f8767f3358/","Expert",NA,"2019-06-10","ROLE The individual will be a specialist in Google tag manager (GTM), Google Analytics (GA) and Google data studio (GDS). The individual is responsible for the weekly monitoring and weekly reporting of clients' Analytics RESPONSIBILITIES & RESULTS The individual's responsibilities will include, GTM Specific - Create, organize, and publish in GTM prior to funnel and social media launch. - Maintain client tags/triggers/variables in GTM based on changing needs/goals - Follow a checklist of specific items tags/triggers/variables to ensure consistency across clients. - Weekly demonstration of best practices in the usage of GTM GA & GDS Specific - Create, organize, and maintain client GA Dashboards and Custom Reports based on client needs - Debug GA to ensure data is accurately reporting across client sites/social media. - Create GA dashboard templates & Custom Report templates for both B2B & B2C clients - Templatize these dashboards and custom reports in GDS to facilitate faster onboarding of clients - Identify weekly/monthly trends in client data and feedback this data to client success manager, funnel team, and social media teams to ensure - Identify, assess, and report on data, metrics, and client KPI's to ensure team can act on the data to ensure continuous improvement and growth in client's account REQUIREMENTS - Deep understanding of GTM, GA, and GDS - Competency in communicating data in a visually relevant manner for internal and external teams - Detail oriented with excellent multitasking and organizational abilities - Ability to meet desired results in a fast-paced work environment that is constantly expanding and evolving - Team player that can work with a variety of personalities less","Google Analytics, Google Data Studio",NA,"$80k+ ","4.87 Stars, based on 20 feedbacks","United States",NA,"4.87","20"
"18","Math task explanation over Skype in Spanish","https://www.upwork.com/job/Math-task-explanation-over-Skype-Spanish_~01fb919d239d256d8f/","Entrylevel","10","2019-06-10","I'll give you some math optimization tasks already solved, you just need to explain the solutions over skype to me in Spanish of course, very easy task for any mathematician, I'm paying $10 the hour so it's quite a nice deal, tell me if you're interested and I'll send you 5 tasks to see if you can do it. less","Mathematics, Skype, Spanish",NA,"$0 ","No feedback yet","Spain",NA,NA,NA
"19","Google Analytics Expert needed to ADD our classes/products to the","https://www.upwork.com/job/Google-Analytics-Expert-needed-ADD-our-classes-products-the_~01b0714581e69257a1/","Expert","150","2019-06-10","*** PLEASE VISIT THE TUTORIAL PAGE BELOW BEFORE APPLYING TO THIS JOB *** GOOGLE TUTORIAL LINK: https://developers.google.com/analytics/devguides/collection/analyticsjs/enhanced-ecommerce We need a Google Analytics Expert to ADD OUR CLASS INFORMATION (name of class, price of class, etc) to our Google Analytics Code for Enhance E commerce Tracking Purposes. *** WE DO NOT NEED TO ADD THIS CODE TO OUR WEBSITE. WE HAVE A DEVELOPER THAT WILL DO THIS *** We just need your help setting up the code for our classes. ------------------------------------------------------------------ We are a school in the USA and we already have a Google Analytics account. We would like to see a report that shows which marketing channel lead to each individual product sale of our classes. Here's the bad news. We using 2 different websites for our school. (1) Our main website is a marketing website and doesn't have any class information. (2) Our 2nd website is called Higher Reach and it contains all the class information and let's customers purchase classes on the platform. less","Google Analytics",NA,"$8k+ ","4.91 Stars, based on 324 feedbacks","United States",NA,"4.91","324"
"20","artificial intelligence use cases in radio network optimization in telecom companies","https://www.upwork.com/job/artificial-intelligence-use-cases-radio-network-optimization-telecom-companies_~014777174f3151ed43/","Expert","5","2019-06-10","I need a short ppt slides about use cases in radio network optimization using machine learning or deep learning . no details are required. I NEED ONLY name of the case problem to be solved features used model used metrics of evaluation this is a very urgent task less",NA,NA,"$0 ","No feedback yet","Egypt",NA,NA,NA
"21","Need a scoring algorithm to rank products","https://www.upwork.com/job/Need-scoring-algorithm-rank-products_~01ba8cbfdce4914c4f/","Intermediate",NA,"2019-06-10","Looking for someone with a math and data science background to create a scoring algorithm to assign a score out of 100 to products. There are about 10 different dimensions on which the product score would be based, and for each of these dimensions there are a few possible options. So what we'd like to do is assign a point value or weight to each option, and then create a scoring formula that will combine them all and output a score out of 100. For example: Product Feature A: -Good = 1 point -Better = 2 points -Best 2.5 points Product Feature B -Good = 0 points -Better = 1 point -Best = 3 points etc. We will provide a detailed list of the different dimensions and details on how we'd like to value them. Also note that the scores should be bell-curved to be mostly distributed in the 65 to 95 range. So the formula needs to ensure that scores never exceed 99, and generally should not be below 50-60. Please include any similar projects you've worked on that you think would be relevant, what your general approach would be, and any questions you have! less","Microsoft Excel",NA,"$20k+ ","4.99 Stars, based on 41 feedbacks","Canada",NA,"4.99","41"
"22","Implement Google Analytics and AdWords across all the companies websites","https://www.upwork.com/job/Implement-Google-Analytics-and-AdWords-across-all-the-companies-websites_~0102081fc12fb8175a/","Intermediate","150","2019-06-10","Implement Google analytics across all the company assets (12 sites/ locations) Implement Google AdWords across all eligible assets (3) Create custom reports in GA to track and deliver metrics to be measured Automate reports","Google Analytics, Google AdWords",NA,"$0 ","No feedback yet","United States",NA,NA,NA
"23","Excel Guru Needed for Sales Analyst","https://www.upwork.com/job/Excel-Guru-Needed-for-Sales-Analyst_~01861051f529bff98b/","Entrylevel",NA,"2019-06-10","We are looking for an Excel guru who is good with pivot tables especially. We need data exported and pivoted to show the pertinent information we need for sales multiple times a day. Please do not apply if you are not knowledgable in Excel, this job is 98% excel based less","Microsoft Excel",NA,"$500k+ ","3.92 Stars, based on 30 feedbacks","United States",NA,"3.92","30"
"24","Agriculture Expert Analysis on Geo-Spatial Data","https://www.upwork.com/job/Agriculture-Expert-Analysis-Geo-Spatial-Data_~01efdf826c393d2944/","Expert",NA,"2019-06-10","The information that needed to be analyzed will be from multispectral cameras and mapping software. We are looking for the best of the best agricultural experts with a track record. We are the Pioneers of technology in Indonesia.",NA,"5","$0 ","No feedback yet","United States",NA,NA,NA
"25","Data Analytics for website: Google Analytics, Tag Manager etc","https://www.upwork.com/job/Data-Analytics-for-website-Google-Analytics-Tag-Manager-etc_~0103ab50adaf5bef95/","Expert",NA,"2019-06-10","Seeking support on tracking results with ad variations and other changes we make on our website and other marketing activities including PPC and A/B testing. Person we hire will be expert and tracking results to create better results. I would like to know when we make a change if that change is for the better or if it hurts our results. Separately I also have a large data set of messages I would like to analyze for most effective message. May be a different person than for the website data analytics. • EntrepreneursNet.Net [Associated with Entrepreneur's Network (57,000 members)] https://EntrepreneursNet.net • clarityFi: Business & Management Advisors and Start CFOs https://clarityfi.com/ less","Google Analytics",NA,"$20k+ ","4.99 Stars, based on 14 feedbacks","United States",NA,"4.99","14"
"26","Google Analysts specialist","https://www.upwork.com/job/Google-Analysts-specialist_~013311007a8e2ccf0f/","Entrylevel",NA,"2019-06-10","We are seeking someone that can help us set google analytics goals to tracks clicks within a site we created this page - http://review.webnhitdev.com/32perfectreq/ I want to know: - how many users have clicked on 1 start - how many users have clicked on 2 start - how many users have clicked on 3 start - how many users have clicked on 4 start - how many users have clicked on 5 start Then I would like to know and count how many users have clicked on google/yelp icon on this page http://review.webnhitdev.com/32perfect_pos/ We have multiple pages like this and want to track the goal for all of them. please send your best offer less","Google Analytics",NA,"$10k+ ","4.86 Stars, based on 10 feedbacks","United States",NA,"4.86","10"
"27","Infographic Design to show our Global impact","https://www.upwork.com/job/Infographic-Design-show-our-Global-impact_~01d5947c4745c05b6f/","Expert","200","2019-06-10","We are looking for someone to concisely and visually depict a summary of global statistics in a page spread (A4 portrait) and also should be able you use as static image later. This person should have a strong understanding of technical details and b ... more","Infographics, Storyboard, Storybook, Concept Art, ",NA,"$600+ ","4.82 Stars, based on 3 feedbacks","United Arab Emirates",NA,"4.82","3"
"28","Academic Citation Analysis (Medical) using VOSViewer and CitNetExplorer","https://www.upwork.com/job/Academic-Citation-Analysis-Medical-using-VOSViewer-and-CitNetExplorer_~012dc69e86c3a452c3/","Entrylevel",NA,"2019-06-10","We focus on the technology of Photobiomodulation (Infrared, Near Infrared and Low Level Laser Therapy). This technology has various applications in fields like Alzheimer's disease Cognitive performance Diabetic foot ulcer Exercise performance Oral mucositis Traumatic brain injury General Anti-Inflammation Wound Healing So we need to create subsets of journal articles through sophisticated Bolean Searches in e.g. Pubmed (and/or other simliar SciLit databases) for each of the application fields in connection with Photobiomodulation. Then, we shall extract sub-databases for each of the application fields that enable us to process them for cross-citation analysis with leading free visulization/analysis tools like VOS Viewer or CitNetExplorer. You might probably need to create importable JSON Files from Journal Databases like Pubmed or others. The End goal is to visualize who are the most influential and cited authors in a certain sub-field of Photobiomodulation applications. less",NA,NA,"$80k+ ","4.99 Stars, based on 21 feedbacks","Switzerland",NA,"4.99","21"
"29","Google Analytics Expert needed to help setup Enhanced E-Commerce Tracking Code","https://www.upwork.com/job/Google-Analytics-Expert-needed-help-setup-Enhanced-Commerce-Tracking-Code_~01edbd58253565b917/","Expert","150","2019-06-10","MISSION: We are a school in the USA and we already have a Google Analytics account. We would like to see a report that shows which marketing channel lead to each individual product sale of our classes. Here's the bad news. We using 2 different websites for our school. (1) Our main website is a marketing website and doesn't have any class information. (2) Our 2nd website is called Higher Reach and it contains all the class information and let's customers purchase classes on the platform. We need a Google Analytics expert to help our school with the following task: TASK: 1. Setup Enhanced E-commerce Tracking Code for our 600 classes so when we view our Google Analytics account, we can see which marketing channel helped generate the conversion/sale. (Please see the attached documents) less","Google Analytics",NA,"$8k+ ","4.91 Stars, based on 324 feedbacks","United States",NA,"4.91","324"
"30","Hashtag Researcher","https://www.upwork.com/job/Hashtag-Researcher_~0115baf76097b774e1/","Intermediate","10","2019-06-10","We're looking for a hotshot who knows their stuff. Are you a Wizz at Instagram, Facebook, Twitter hashtags? We want someone to complete multiple projects each at $10-15 per mini-project. We'll supply plenty of information about the niches and you'll need to complete full research on the best and most popular but good hashtags for visibility. Not just the ones with millions of uses but also smaller ones with high visibility. If you have significant experience and existing knowledge on how to research hashtags and can provide the output to us in unbranded format or put in our format as requested, then we want to hear from you. You need attn. to detail, the ability to think outside the box, the savvy to think about the kinds of hashtags our target customers and audiences are using and prove it with statistics and information gathered from ocial media tools you already use. You will need to already have subscriptions to the hashtag research services and tools so that you can undertake the tasks immediately and easily. If you're only using the free services out there you won't be able to give us the level of information we need for it to be actionable and valuable. This job was posted from a mobile device, so please pardon any typos or any missing details. less","Administrative Support, Google Search, Internet Research, ",NA,"$10k+ ","4.93 Stars, based on 74 feedbacks","Singapore",NA,"4.93","74"
"31","Blog post writing","https://www.upwork.com/job/Blog-post-writing_~0164c32bddc1d0c834/","Intermediate","80","2019-06-10","We are looking for an experienced writer for creating high-quality, well-researched blog posts (which include statistics, case studies, well-structured content, images, etc.) about business, technology, mobile and marekting. We may need the followin ... more",NA,"2","$2M+ ","4.71 Stars, based on 205 feedbacks","United Kingdom",NA,"4.71","205"
"32","VA for Quality Management System (QMS) - Healthcare - lab","https://www.upwork.com/job/for-Quality-Management-System-QMS-Healthcare-lab_~01c66186df3af83ffa/","Entrylevel",NA,"2019-06-10","I'm looking for a healthcare QMS VA to help me with Quality admin work that includes drafting policies, developing reports, generating statistics, document control and so on. things will be slow in the beginning maybe but slowly slowly the task will flow more as we go. PS. some of the instructions will be verbal through one of the online tools. my time zone is GMT+3 and my working week starts on Sunday less","Microsoft Office, Presentations, Draft Correspondence, Medical, Virtual",NA,"$30k+ ","4.73 Stars, based on 18 feedbacks","Saudi Arabia",NA,"4.73","18"
"33","Analysis of Market Research","https://www.upwork.com/job/Analysis-Market-Research_~0106585c1373b751e8/","Expert","100","2019-06-10","We have conducted market research, asking around 25 questions to 95 people. I am looking for analysis and insights into this data including segmentation and cross-tabulation.",NA,NA,"$0 ","No feedback yet","United Kingdom",NA,NA,NA
"34","Quick Google Analytics Project","https://www.upwork.com/job/Quick-Google-Analytics-Project_~01f64b6368f2146120/","Expert","85","2019-06-10","We're looking for a Google Analytics whiz to perform three tasks: 1) Complete a performance review of our website for the past 6 months, identifying key opportunities for improvement 2) Build a GA weekly reporting template that can report on key metrics so that we can keep track of performance 3) Take us through what you've done via a short phone or video call. We'll give you a quick briefing on our business and what we are trying to achieve so that your review and report can reflect our needs. less","Google Analytics",NA,"$1k+ ","5.00 Stars, based on 3 feedbacks","Australia",NA,"5.00","3"
"35","cryptocurrency Algo Trading expert needed to create algorithms","https://www.upwork.com/job/cryptocurrency-Algo-Trading-expert-needed-create-algorithms_~019abaef9085c7749a/","Intermediate","100","2019-06-10","Hello! We are a company focused on developing cryptocurrency trading platform for the common world, we have an application that uses 20 technical indicators (RSI, MACD etc.) to analyze price data of cryptocurrency pairs of several exchanges, it uses exchange's APIs to communicate with the exchange and place the buy/sell order. We are looking for an expert algo trader who has a trading experience with cryptocurrencies, to develop for us some trading algorithms that work good in different market conditions (bullish, bearish, choppy etc.) If you would like to cooperate, please contact us for more information. Thank you. Best regards. less","Microsoft Excel",NA,"$10k+ ","5.00 Stars, based on 6 feedbacks","China",NA,"5.00","6"
"36","Website/App developer required to build a website from our designs. (Wordpress/frontend/backend)","https://www.upwork.com/job/Website-App-developer-required-build-website-from-our-designs-Wordpress-frontend-backend_~0157fd2c6392eff548/","Intermediate",NA,"2019-06-10","Brief We are creating a website for user populated sports leagues (similar to fantasy football). The website will allow users to sign up and create their own interactive sporting league that will allow them and all their friends who join the league to input their statistics when they complete a round regarldess of where in the world they are. Each player can add their own scores and stats and then complete with others around the world in their league. Further details: The structure: Pages 1. Sign in/Sign up (this will be the homepage, so it's very simple) 2. Profile page (profile info, join and create a league). You will also be able to see all the leagues you are in. As you could be in multiple leagues. 3. League page. (something like this - http://alchemists-wp.dan-fisher.com/soccer/team/alchemists/) 4. Billing & payment page. 5. Page about player. What should be included on the league page? - A league table - Past Winners - Although this will be blank to begin with - Various Stats - any that we could include . E.g. player average score, best round, worst round. - Player Updates/Log - as someone enters a score it says ""John Deer has just scored 36 points at..."" (this on the right-hand side of the example page and I assume is built into the plugin) As we allow people to enter more stats we can increase the stats that are shown but to begin with I think that's all that's needed. Users must be able to easily add their scores and the leagues automatically updates. Personalisation of the league - Option to specify how many rounds for that league. This can be a fixed number of rounds each, or it can be time-based until a certain date where the best 10 scores are counted etc. Inclusion of Major Events - not essential but if we could do this would be great. The league organise can set certain dates as a ‘major’. One round you get an extra point for these rounds... adds a bit of pressure. Also if they have actual in person competitions - like a big tournament, I would like them to able to add the winner to the stats. It would also be good to be able to arrange these in person tournaments via the page. less","Website, WordPress, Web Apps, Wordpress Website",NA,"$0 ","No feedback yet","United Kingdom",NA,NA,NA
"37","Secure web portal development","https://www.upwork.com/job/Secure-web-portal-development_~013b0a13cf95b6ade6/","Intermediate",NA,"2019-06-10","I'm looking for a integrated web portal: Capture Job Separate databases for different clients, Time Stamps Search function Different logins and access rights(from internal company usage to external excess) Report structure including statistics Autom ... more",NA,NA,"",NA,"$0 spent","PLUS",NA,NA
"38","Long-term English to Serbian Translator for international website","https://www.upwork.com/job/Long-term-English-Serbian-Translator-for-international-website_~01fd40161a01e28dd2/","Intermediate","999","2019-06-10","We are looking for a translator from English to Serbian for our website Casino.guru, a multilingual website focused on online casinos and gambling. We do our best to provide our visitors with reliable information that is not biased in any way. The t ... more","Serbian, Proofreading, Translation English Serbian",NA,"$100k+ ","4.92 Stars, based on 30 feedbacks","Slovakia",NA,"4.92","30"
"39","Content Development for Minitab","https://www.upwork.com/job/Content-Development-for-Minitab_~019b0229aba52b25a6/","Expert","4","2019-06-10","Looking for a Subject Matter Expert (SME) to collaborate with us to develop the Course content for Minitab training for our E-learning Portal. The SME is to provide us Videos, Slides for trainer's deck, Assignments, Outlines for creating infographi ... more","R","5","$10k+ ","4.57 Stars, based on 19 feedbacks","United States",NA,"4.57","19"
"40","Need a developer for creating a simple console SIP softphone (Linux, Windows). No GUI / control.","https://www.upwork.com/job/Need-developer-for-creating-simple-console-SIP-softphone-Linux-Windows-GUI-control_~015de33d8895f407cd/","Expert",NA,"2019-06-10","Need to develop a console SIP softphone running in the background (Linux and Windows). It is a good idea to use open source libraries such as PJSIP 1) SIP softphone connects to the Cloud server API (HTTPS) to get the registration settings: SIP login/pass, SIP server address/port/protocol. The cloud server will be developed by another team 2) SIP softphone is registered on the SIP server with the login/pass provided from the cloud server 3) SIP softphone receives task data from a cloud server (using Cloud server API). The task contains information about how often and to which number to make a call 4) SIP softphone makes calls according to the received task, send/receive RTP (softphone can play some test audio file) and collects all possible statistics about the call: call date and time, calling and called numbers, duration, and RTP stats: jitter, packet loss and calculate MOS. All collected statistics posts to the Cloud server 5) SIP softphone should be able to answer an incoming call. This need for the scenario when both SIP softphone clients registered on the same PBX Server and able to call each other Cloud Server will be developed by another team. This will be a VoIP monitoring system to collect and show information about the quality of the calls thru some PBX servers. less","Standalone Application, Linux, SIP, VOIP Software",NA,"$0 ","No feedback yet","Kyrgyzstan",NA,NA,NA
"41","Solve Neural Network Questions","https://www.upwork.com/job/Solve-Neural-Network-Questions_~0169df29235f7871f3/","Intermediate","50","2019-06-10","Need help to solve a few questions related to Neural Network and few questions to be solved using R. If you are good in Neural Network and can solve and write answers in word file.","R, Artificial Neural Networks, Data Science,  ",NA,"$60 ","1.67 Stars, based on 2 feedbacks","India",NA,"1.67","2"
"42","Analytics Expert required to ensure ecommerce on Google Analytics for site is working as expected","https://www.upwork.com/job/Analytics-Expert-required-ensure-ecommerce-Google-Analytics-for-site-working-expected_~01e8639e8f3d1d1a85/","Expert","500","2019-06-10","We have Google Analytics ecommerce set up on our website but it doesn't appear to be tracking all products as expected. Requires an audit of the ecommerce set up and execution of tactics to ensure the ecommerce is tracking every purchase. Can work with website product manager and Umbraco developer within the business. less","Google Analytics",NA,"",NA,"$0 spent","PLUS",NA,NA
